id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,permanencia_media,stake,7.819048,0.538942,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,permanencia_media,eleito,7.819048,0.538942,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,permanencia_media,produzido,7.819048,0.538942,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,diversidade,stake,0.196032,0.02857,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,diversidade,eleito,0.196032,0.02857,30,42
20260703-002116,9,G11,entrincheiramento,200,pareto,1.16,1000,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,1.0,0.0,diversidade,produzido,0.196032,0.02857,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,rotatividade,stake,0.688889,0.05039,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,rotatividade,eleito,0.688889,0.05039,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,rotatividade,produzido,0.688889,0.05039,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,persistencia,stake,0.655556,0.025195,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,persistencia,eleito,0.655556,0.025195,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,persistencia,produzido,0.655556,0.025195,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,permanencia_media,stake,1.655556,0.025195,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,permanencia_media,eleito,1.655556,0.025195,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,permanencia_media,produzido,1.655556,0.025195,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,diversidade,stake,0.672222,0.012597,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,diversidade,eleito,0.672222,0.012597,30,42
20260703-002116,10,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,2,0.0,0.0,diversidade,produzido,0.672222,0.012597,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,rotatividade,stake,0.692901,0.046102,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,rotatividade,eleito,0.692901,0.046102,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,rotatividade,produzido,0.692901,0.046102,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,persistencia,stake,0.494444,0.029284,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,persistencia,eleito,0.494444,0.029284,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,persistencia,produzido,0.494444,0.029284,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,permanencia_media,stake,3.241358,0.111574,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,permanencia_media,eleito,3.241358,0.111574,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,permanencia_media,produzido,3.241358,0.111574,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,diversidade,stake,0.393827,0.012742,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,diversidade,eleito,0.393827,0.012742,30,42
20260703-002116,11,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.0,diversidade,produzido,0.393827,0.012742,30,42
20260703-002116,12,G11,entrincheiramento,200,pareto,1.16,1000,54,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,rotatividade,stake,0.687243,0.046291,30,42
